viewpoint,single_map50_95,single_map50,single_f1,mean_pair_map50_95_when_included,best_pair_map50_95_when_included,mean_lift_when_paired,best_lift_when_paired,completed_pair_count
ellow-radnear-az000,0.31016518002313737,0.5303346337046508,0.5836318709075391,0.4233553234885934,0.4912164905084619,0.113190143465456,0.18105131048532452,69
ellow-radnear-az045,0.28505665657478896,0.49813793757808983,0.5541158279122731,0.41382295174136097,0.4935459215385386,0.12876629516657195,0.20848926496374964,71
ellow-radnear-az090,0.29210572313626104,0.48881408313422153,0.5442233987577014,0.41262170881482474,0.48424454358678537,0.12051598567856368,0.19213882045052433,71
ellow-radnear-az135,0.2839740856928261,0.48202556848274736,0.5360715382608479,0.4136398352756772,0.4893344954555174,0.12966574958285107,0.20536040976269127,71
ellow-radnear-az180,0.29540226925164786,0.49190736317453637,0.5450455888106074,0.42178903264710543,0.4860439238627808,0.12638676339545757,0.19064165461113292,71
ellow-radnear-az225,0.29327532500466835,0.4923860272818094,0.5457605747877368,0.41920871221895784,0.4847827563396486,0.12593338721428948,0.19150743133498027,71
ellow-radnear-az270,0.2678192772347479,0.44188373997801716,0.49984851036102484,0.4121500822352854,0.48734042377962916,0.14433080500053747,0.21952114654488125,71
ellow-radnear-az315,0.27834927940285153,0.48673059608234576,0.5401821416530977,0.4177543010717827,0.4933872551586506,0.13940502166893115,0.21503797575579908,71
ellow-radmid-az000,0.31117612143053364,0.5196061846271486,0.5720166470574564,0.4234332821339925,0.4957698038530213,0.11225716070345884,0.18459368242248764,71
ellow-radmid-az045,0.30014263000222136,0.5128967761007864,0.5693929232790678,0.41882319624769465,0.4883918760554505,0.1186805662454733,0.18824924605322912,71
ellow-radmid-az090,0.29891069134571624,0.49588602423856504,0.547829355946276,0.41956123192874906,0.49509965121440075,0.12065054058303286,0.1961889598686845,71
ellow-radmid-az135,0.27777266742978585,0.47279385342897795,0.5273648791253336,0.41453053200373735,0.493520769959892,0.1367578645739515,0.21574810253010618,71
ellow-radmid-az180,0.33089890701803604,0.5363496222003464,0.5866066436911365,0.4285035804041332,0.492081240087054,0.09760467338609718,0.16118233306901797,71
